red_odds,blue_odds,red_winner,odds_diff,age_diff,reach_diff,height_diff,wins_diff,losses_diff,rounds_diff,title_bout_diff,ko_diff,submission_diff,win_streak_diff,lose_streak_diff,longest_win_streak_diff,sig_str_diff,sub_att_diff,td_diff,rank_diff,title_bout,gender,number_of_rounds,blue_current_lose_streak,blue_current_win_streak,blue_longest_win_streak,blue_total_rounds_fought,blue_total_title_bouts,blue_stance,blue_height_cms,blue_reach_cms,red_current_lose_streak,red_current_win_streak,red_longest_win_streak,red_total_rounds_fought,red_total_title_bouts,red_stance,red_height_cms,red_reach_cms,red_age,blue_age,b_match_wc_rank,r_match_wc_rank,weight_class_Bantamweight,weight_class_Catch Weight,weight_class_Featherweight,weight_class_Flyweight,weight_class_Heavyweight,weight_class_Light Heavyweight,weight_class_Lightweight,weight_class_Middleweight,weight_class_Welterweight,weight_class_Women's Bantamweight,weight_class_Women's Featherweight,weight_class_Women's Flyweight,weight_class_Women's Strawweight,red_implied_prob,blue_implied_prob,prob_diff,red_win_pct,blue_win_pct,win_pct_diff,red_ko_rate,blue_ko_rate,red_sub_rate,blue_sub_rate,red_finish_rate,blue_finish_rate,red_experience,blue_experience,red_round_per_fight,blue_round_per_fight,red_reach_per_height,blue_reach_per_height,red_days_since_last,blue_days_since_last,red_debut,blue_debut,activity_diff
215,-235,0,450,10,-20.32,-2.53999999999999,4,3,14,0,4,0,0,0,1,8.2727,0.1591,1.9545,0,0,1,3,1,0,3,9,0,0.0,193.04,213.36,1,0,4,23,0,0.0,190.5,193.04,32,22,20,20,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31746031746031744,0.7014925373134329,-0.3840322198531154,0.6363636363636364,0.75,-0.11363636363636365,0.5714285714285714,0.0,0.14285714285714285,0.3333333333333333,0.7142857142857143,0.3333333333333333,11,4,2.090909090909091,2.25,1.0133333333333332,1.105263157894737,,,1,1,
-185,160,1,-345,4,-2.53999999999999,0.0,0,2,5,0,-3,1,-1,0,-1,13.6571,0.3714,-2.4571,0,0,1,3,0,3,3,11,0,0.0,182.88,190.5,0,2,2,16,0,0.0,182.88,187.96,33,29,20,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.6491228070175439,0.38461538461538464,0.26450742240215924,0.5714285714285714,0.8,-0.22857142857142865,0.0,0.75,0.5,0.25,0.5,1.0,7,5,2.2857142857142856,2.2,1.027777777777778,1.0416666666666667,,,1,1,
-220,180,1,-400,2,-12.7,-12.7,0,0,3,0,-2,1,-1,0,-1,16.0,-1.5,-0.5,0,0,1,3,0,3,3,6,0,0.0,185.42,193.04,0,2,2,9,0,0.0,172.72,180.34,30,28,20,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.6875,0.35714285714285715,0.33035714285714285,0.75,0.75,0.0,0.0,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.6666666666666666,1.0,4,4,2.25,1.5,1.0441176470588236,1.0410958904109588,,,1,1,
-650,550,1,-1200,1,5.07999999999998,-2.53999999999999,9,2,28,8,4,2,2,0,2,-11.95,-1.0667,-2.9,0,1,1,5,0,4,4,10,0,0.0,182.88,187.96,0,6,6,38,8,0.0,180.34,193.04,28,27,20,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.8666666666666667,0.15384615384615385,0.7128205128205128,0.8666666666666667,1.0,-0.1333333333333333,0.38461538461538464,0.25,0.15384615384615385,0.0,0.5384615384615384,0.25,15,4,2.533333333333333,2.5,1.0704225352112675,1.027777777777778,,,1,1,
-150,140,0,-290,-5,-2.53999999999999,2.53999999999999,8,4,17,3,-1,7,-2,0,1,-3.0,-1.2667,-0.4667,0,1,1,5,0,3,3,3,0,0.0,187.96,203.2,0,1,4,20,3,1.0,190.5,200.66,30,35,20,20,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.4166666666666667,0.1833333333333333,0.7333333333333333,1.0,-0.2666666666666667,0.18181818181818182,1.0,0.6363636363636364,0.0,0.8181818181818182,1.0,15,3,1.3333333333333333,1.0,1.0533333333333332,1.081081081081081,,,1,1,
-210,190,1,-400,-1,-7.61999999999998,-5.08000000000001,6,2,17,0,1,3,3,-1,3,-0.4444,1.4444,2.8889,0,0,1,3,1,0,0,3,0,0.0,177.8,185.42,0,3,3,20,0,0.0,172.72,177.8,30,31,20,20,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6774193548387096,0.3448275862068966,0.33259176863181306,0.6666666666666666,0.0,0.6666666666666666,0.16666666666666666,,0.5,,0.6666666666666666,,9,1,2.2222222222222223,3.0,1.0294117647058825,1.0428571428571427,,,1,1,
-235,195,1,-430,-4,12.7,0.0,5,2,18,1,-1,5,0,0,4,-19.0,-1.4444,-1.3333,0,0,1,3,1,0,1,2,0,0.0,182.88,180.34,1,0,5,20,1,1.0,182.88,193.04,24,28,20,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.7014925373134329,0.3389830508474576,0.36250948646597525,0.6666666666666666,0.5,0.16666666666666663,0.0,1.0,0.8333333333333334,0.0,0.8333333333333334,1.0,9,2,2.2222222222222223,1.0,1.0555555555555556,0.9861111111111112,,,1,1,
-320,290,1,-610,-2,-10.16,0.0,1,-1,3,0,1,-1,0,0,0,-12.1667,-0.5,-0.1667,0,0,1,3,0,3,3,12,0,0.0,172.72,190.5,0,3,3,15,0,1.0,172.72,180.34,26,28,20,20,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7619047619047619,0.2564102564102564,0.5054945054945055,0.8333333333333334,0.6666666666666666,0.16666666666666674,0.2,0.0,0.4,0.75,0.6,0.75,6,6,2.5,2.0,1.0441176470588236,1.1029411764705883,,,1,1,
-160,140,0,-300,0,-7.62,-15.24,0,0,2,0,0,0,0,0,0,-9.0,-2.0,-7.0,0,0,1,3,1,0,0,1,0,0.0,190.5,190.5,1,0,0,3,0,2.0,175.26,182.88,28,28,20,20,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6153846153846154,0.4166666666666667,0.19871794871794873,0.0,0.0,0.0,,,,,,,1,1,3.0,1.0,1.0434782608695652,1.0,,,1,1,
-230,190,1,-420,1,2.54000000000002,5.07999999999998,3,1,12,0,0,0,0,1,3,-45.75,-1.0,-3.75,0,0,1,3,0,0,0,0,0,0.0,180.34,185.42,1,0,3,12,0,1.0,185.42,187.96,24,23,20,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.696969696969697,0.3448275862068966,0.35214211076280044,0.75,,,0.0,,0.0,,0.0,,4,0,3.0,,1.0136986301369864,1.028169014084507,,,1,1,
295,-325,0,620,-6,2.54000000000002,5.08000000000001,-7,0,-25,-1,1,-2,-2,0,-5,4.8333,-0.2833,2.8833,0,0,1,3,0,3,8,34,1,0.0,182.88,193.04,0,1,3,9,0,0.0,187.96,195.58,26,32,20,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.25316455696202533,0.7647058823529411,-0.5115413253909158,0.8,0.9166666666666666,-0.11666666666666659,0.5,0.09090909090909091,0.25,0.2727272727272727,0.75,0.36363636363636365,5,12,1.8,2.8333333333333335,1.0405405405405406,1.0555555555555556,,,1,1,
-360,300,1,-660,2,10.16,7.62,10,3,28,3,2,6,1,0,6,-23.6154,-0.8462,-1.5385,0,0,1,3,0,0,0,0,0,1.0,170.18,177.8,0,1,6,28,3,1.0,177.8,187.96,33,31,20,20,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.782608695652174,0.25,0.532608695652174,0.7692307692307693,,,0.2,,0.6,,0.8,,13,0,2.1538461538461537,,1.0571428571428572,1.0447761194029852,,,1,1,
-350,290,1,-640,11,-30.48,-27.94,-2,-1,-6,1,1,-2,-2,0,-2,9.5,3.0,-0.5,0,0,1,3,0,3,3,7,0,0.0,210.82,213.36,0,1,1,1,1,0.0,182.88,182.88,33,22,20,20,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7777777777777778,0.2564102564102564,0.5213675213675214,1.0,0.75,0.25,1.0,0.0,0.0,0.6666666666666666,1.0,0.6666666666666666,1,4,1.0,1.75,1.0,1.0120481927710845,,,1,1,
-230,190,0,-420,0,-2.53999999999999,-2.53999999999999,1,-3,-6,1,2,0,0,0,1,-2.8182,0.0909,0.4343,0,0,1,3,0,2,2,21,0,0.0,185.42,185.42,0,2,3,15,1,2.0,182.88,182.88,38,38,20,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.696969696969697,0.3448275862068966,0.35214211076280044,0.7777777777777778,0.5454545454545454,0.23232323232323238,0.7142857142857143,0.5,0.0,0.0,0.7142857142857143,0.5,9,11,1.6666666666666667,1.9090909090909092,1.0,1.0,,,1,1,
-190,165,1,-355,0,5.07999999999998,7.62,0,0,-2,1,1,0,0,0,0,-5.0,2.0,5.0,0,0,1,3,0,1,1,6,0,0.0,172.72,180.34,0,1,1,4,1,0.0,180.34,185.42,28,28,20,20,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6551724137931034,0.37735849056603776,0.27781392322706566,0.5,0.5,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2,2,2.0,3.0,1.028169014084507,1.0441176470588236,,,1,1,
-220,180,1,-400,-6,-2.54000000000002,5.08000000000001,-2,-3,-8,1,-3,-1,-1,0,-1,-46.5,0.2857,0.2857,0,0,1,3,0,3,3,13,0,0.0,167.64,177.8,0,2,2,5,1,0.0,172.72,175.26,25,31,20,20,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6875,0.35714285714285715,0.33035714285714285,1.0,0.5714285714285714,0.4285714285714286,0.0,0.75,0.0,0.25,0.0,1.0,2,7,2.5,1.8571428571428572,1.0147058823529411,1.0606060606060608,,,1,1,
130,-150,0,280,3,5.08000000000001,2.53999999999999,2,2,8,0,1,0,1,-1,1,42.1667,2.3333,2.3333,0,0,1,3,1,0,1,6,0,0.0,172.72,172.72,0,1,2,14,0,0.0,175.26,177.8,28,25,20,20,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43478260869565216,0.6,-0.16521739130434782,0.5,0.5,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,6,2,2.3333333333333335,3.0,1.0144927536231885,1.0,,,1,1,
270,-330,0,600,8,-2.53999999999999,-7.62,-3,2,2,2,1,-2,-1,4,-1,-15.8889,0.7778,2.4778,0,0,1,3,0,1,3,24,0,1.0,177.8,180.34,4,0,2,26,2,1.0,170.18,177.8,34,26,20,20,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2702702702702703,0.7674418604651163,-0.497171590194846,0.3333333333333333,0.6,-0.26666666666666666,0.3333333333333333,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,9,10,2.888888888888889,2.4,1.0447761194029852,1.0142857142857142,,,1,1,
-650,475,1,-1125,-8,1.30000000000001,0.0,7,1,24,0,3,0,0,0,4,-21.1111,1.1111,0.1111,0,0,1,3,1,0,0,2,0,0.0,187.96,189.2,1,0,4,26,0,1.0,187.96,190.5,28,36,20,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.8666666666666667,0.17391304347826086,0.6927536231884058,0.7777777777777778,0.0,0.7777777777777778,0.42857142857142855,,0.0,,0.42857142857142855,,9,1,2.888888888888889,2.0,1.0135135135135134,1.0065971483294316,,,1,1,
-155,135,1,-290,0,7.62,-10.16,1,0,3,0,1,0,1,0,1,-21.0,0.0,-1.0,0,0,1,3,0,0,0,0,0,0.0,190.5,187.96,0,1,1,3,0,1.0,180.34,195.58,30,30,20,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.6078431372549019,0.425531914893617,0.18231122236128489,1.0,,,1.0,,0.0,,1.0,,1,0,3.0,,1.0845070422535212,0.9866666666666667,,,1,1,
173,-205,1,378,1,2.53999999999999,5.08000000000001,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,1,3,0,0,0,0,0,1.0,172.72,180.34,0,0,0,0,0,0.0,177.8,182.88,29,28,20,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.3663003663003663,0.6721311475409836,-0.3058307812406173,,,,,,,,,,0,0,,,1.0285714285714285,1.0441176470588236,,,1,1,
