red_fighter,blue_fighter,red_odds,blue_odds,red_winner,red_return,blue_return,odds_diff,age_diff,reach_diff,height_diff,wins_diff,losses_diff,rounds_diff,title_bout_diff,ko_diff,submission_diff,win_streak_diff,lose_streak_diff,longest_win_streak_diff,sig_str_diff,sub_att_diff,td_diff,rank_diff,fight_date,title_bout,weight_class,gender,number_of_rounds,blue_current_lose_streak,blue_current_win_streak,blue_longest_win_streak,blue_losses,blue_total_rounds_fought,blue_total_title_bouts,blue_wins_by_ko,blue_wins_by_submission,blue_wins,blue_stance,blue_height_cms,blue_reach_cms,red_current_lose_streak,red_current_win_streak,red_longest_win_streak,red_losses,red_total_rounds_fought,red_total_title_bouts,red_wins_by_ko,red_wins_by_submission,red_wins,red_stance,red_height_cms,red_reach_cms,red_age,blue_age,b_match_wc_rank,r_match_wc_rank
Alexandre Pantoja,Kai Asakura,-250,215,t,1.4,0,-465,3,-5.07999999999998,-7.62,12,3,42,3,2,4,6,0,6,-4.41,-0.8,-2.61,-20,2024-12-07,t,Flyweight,MALE,5,0,0,0,0,0,0,0,0,0,Orthodox,172.72,175.26,0,6,6,3,42,3,2,4,12,Orthodox,165.1,170.18,34,31,20,0
Shavkat Rakhmonov,Ian Machado Garry,-210,295,t,1.4762,0,-505,3,7.62,-5.08000000000001,-2,0,-9,0,-2,5,-2,0,-2,1.38,-1.5,-0.72,-4,2024-12-07,f,Welterweight,MALE,3,0,8,8,0,20,0,3,0,8,Orthodox,190.5,187.96,0,6,6,0,11,0,1,5,6,Orthodox,185.42,195.58,30,27,7,3
Ciryl Gane,Alexander Volkov,-380,300,t,1.2632,0,-680,-2,2.54000000000002,-7.62,-3,-2,-11,3,-2,1,-3,0,3,-0.36,-0.3,-0.13,-1,2024-12-07,f,Heavyweight,MALE,3,0,4,4,4,44,0,6,1,12,Orthodox,200.66,203.2,0,1,7,2,33,3,4,2,9,Orthodox,193.04,205.74,34,36,3,2
Bryce Mitchell,Kron Gracie,-950,625,t,1.1053,0,-1575,-6,0,2.54000000000002,6,0,15,0,0,0,0,-1,5,1.44,-1.1,-2.98,-7,2024-12-07,f,Featherweight,MALE,3,2,0,1,2,7,0,0,1,1,Southpaw,175.26,177.8,1,0,6,2,22,0,0,1,7,Southpaw,177.8,177.8,30,36,20,13
Nate Landwehr,Dooho Choi,-130,110,f,0,2.1,-240,3,5.07999999999998,-2.54000000000002,1,0,2,0,-3,2,0,0,0,-1.84,-0.2,-0.25,0,2024-12-07,f,Featherweight,MALE,3,0,1,3,3,15,0,4,0,4,Orthodox,177.8,177.8,0,1,3,3,17,0,1,2,5,Orthodox,175.26,182.88,36,33,20,20
Dominick Reyes,Anthony Smith,-380,300,t,1.2632,0,-680,-2,2.54000000000002,0,-8,-8,-42,1,-3,-5,1,-1,3,-1.63,0.3,0.11,-1,2024-12-07,f,Light Heavyweight,MALE,3,1,0,3,12,63,1,7,6,15,Orthodox,193.04,193.04,0,1,6,4,21,2,4,1,7,Southpaw,193.04,195.58,34,36,13,12
Vicente Luque,Themba Gorimbo,-650,-162,t,1.1538,0,-488,0,-5.08000000000001,-5.07999999999998,11,5,35,0,7,5,-4,1,2,-1.96,0,3.89,-6,2024-12-07,f,Welterweight,MALE,3,0,4,4,1,12,0,1,0,4,Orthodox,185.42,195.58,1,0,6,6,47,0,8,5,15,Orthodox,180.34,190.5,33,33,20,14
Movsar Evloev,Aljamain Sterling,-238,195,t,1.4202,0,-433,-5,2.53999999999999,0,-8,-4,-33,-5,-2,-4,7,0,-1,0.18,0.5,-2.44,-4,2024-12-07,f,Featherweight,MALE,3,0,1,9,4,57,5,2,4,16,Orthodox,170.18,180.34,0,8,8,0,24,0,0,0,8,Orthodox,170.18,182.88,30,35,9,5
Randy Brown,Bryan Battle,150,-180,f,0,1.5556,330,4,2.53999999999999,5.08000000000001,7,4,27,0,0,1,0,0,1,1.06,-0.1,0.24,0,2024-12-07,f,Welterweight,MALE,3,0,3,3,1,16,0,3,2,6,Orthodox,185.42,195.58,0,3,4,5,43,0,3,3,13,Orthodox,190.5,198.12,34,30,20,20
Chris Weidman,Eryk Anders,-112,-108,f,0,1.9259,-4,3,7.62,2.54000000000002,4,-1,2,5,0,3,0,0,7,0.23,-0.7,-1.65,0,2024-12-07,f,Catch Weight,MALE,3,0,1,2,8,44,0,4,0,8,Southpaw,185.42,190.5,0,1,9,7,46,5,4,3,12,Orthodox,187.96,198.12,40,37,20,20
Cody Durden,Joshua Van,142,-170,f,0,1.5882,312,10,5.08000000000001,5.08000000000001,2,3,10,0,0,1,0,0,1,5.04,-0.9,-2.74,-6,2024-12-07,f,Flyweight,MALE,3,0,1,3,1,14,0,1,0,4,Orthodox,165.1,165.1,0,1,4,4,24,0,1,1,6,Southpaw,170.18,170.18,33,23,20,14
Michael Chiesa,Max Griffin,-130,110,t,1.7692,0,-240,-2,-2.53999999999999,5.07999999999998,4,-1,-3,1,-3,7,0,0,1,2.06,-0.7,-1.9,0,2024-12-07,f,Welterweight,MALE,3,0,1,3,8,44,0,3,0,8,Orthodox,180.34,193.04,0,1,4,7,41,1,0,7,12,Southpaw,185.42,190.5,37,39,20,20
Clay Guida,Chase Hooper,700,-1100,f,0,1.0909,1800,17,-10.16,-15.24,13,16,82,2,0,2,-3,2,1,2.44,1.7,-1.68,0,2024-12-07,f,Lightweight,MALE,3,0,3,3,3,23,0,2,3,7,Southpaw,185.42,187.96,2,0,4,19,105,2,2,5,20,Orthodox,170.18,177.8,42,25,20,20
Kennedy Nzechukwu,Lukasz Brzeski,-550,410,t,1.1818,0,-960,0,12.7,2.54000000000002,7,1,17,0,6,0,1,-1,2,-0.44,0.3,-0.12,0,2024-12-07,f,Heavyweight,MALE,3,1,0,1,4,14,0,0,1,2,Orthodox,193.04,198.12,0,1,3,5,31,0,6,1,9,Southpaw,195.58,210.82,32,32,20,20
Petr Yan,Deiveson Figueiredo,-305,245,t,1.3279,0,-550,-5,-2.53999999999999,5.08000000000001,-4,1,1,-2,0,-4,-2,0,2,-2.2,1.3,0.01,-2,2024-11-23,f,Bantamweight,MALE,5,0,3,5,3,44,6,4,4,13,Orthodox,165.1,172.72,0,1,7,4,45,4,4,0,9,Switch,170.18,170.18,31,36,5,3
Yan Xiaonan,Tabatha Ricci,-198,164,t,1.5051,0,-362,6,5.08000000000001,10.16,2,1,12,1,1,-1,-2,1,2,-0.81,0.1,1.82,-8,2024-11-23,f,Women's Strawweight,FEMALE,3,0,2,4,2,22,0,0,1,6,Orthodox,154.94,154.94,1,0,6,3,34,1,1,0,8,Orthodox,165.1,160.02,35,29,10,2
Song Kenan,Muslim Salikhov,-230,190,f,0,2.9,-420,-6,2.53999999999999,2.53999999999999,-1,0,-3,0,0,0,0,0,-3,-1.11,0,0.66,0,2024-11-23,f,Welterweight,MALE,3,0,1,5,4,26,0,3,0,7,Orthodox,180.34,177.8,0,1,2,4,23,0,3,0,6,Orthodox,182.88,180.34,34,40,20,20
Wang Cong,Gabriella Fernandes,-950,750,f,0,8.5,-1700,1,0,0,1,-2,-7,0,1,1,1,0,1,-2.35,-2,-0.6,0,2024-11-23,f,Women's Flyweight,FEMALE,3,0,1,1,2,9,0,0,0,1,Southpaw,167.64,167.64,0,2,2,0,2,0,1,1,2,Southpaw,167.64,167.64,32,31,20,20
Volkan Oezdemir,Carlos Ulberg,215,-265,f,0,1.3774,480,1,-5.08000000000001,-5.07999999999998,1,5,18,1,-1,0,-4,0,-3,2.25,0.1,0.22,-2,2024-11-23,f,Light Heavyweight,MALE,3,0,6,6,1,13,0,5,1,7,Orthodox,193.04,195.58,0,2,3,6,31,1,4,1,8,Orthodox,187.96,190.5,35,34,10,8
Zhang Mingyang,Ozzy Diaz,-225,210,t,1.4444,0,-435,-8,-10.16,-5.07999999999998,2,-1,0,0,2,0,2,-1,2,-6.36,0,0,0,2024-11-23,f,Light Heavyweight,MALE,3,1,0,0,1,2,0,0,0,0,Orthodox,193.04,200.66,0,2,2,0,2,0,2,0,2,Orthodox,187.96,190.5,26,34,20,20
Baergeng Jieleyisi,SuYoung You,190,-230,f,0,1.4348,420,0,12.7,7.62,0,1,2,0,0,1,0,0,0,0.36,0,3.02,0,2024-11-23,f,Bantamweight,MALE,3,0,2,2,0,6,0,0,0,2,Orthodox,167.64,165.1,0,2,2,1,8,0,0,1,2,Orthodox,175.26,177.8,28,28,20,20
Kiru Sahota,DongHun Choi,102,-122,f,0,1.8197,224,4,17.78,12.7,0,0,0,0,0,0,0,0,0,0.49,-0.5,-0.46,0,2024-11-23,f,Flyweight,MALE,3,0,2,2,0,6,0,0,0,2,Switch,165.1,167.64,0,2,2,0,6,0,0,0,2,Orthodox,177.8,185.42,29,25,20,20
Shi Ming,Feng Xiaocan,380,-490,t,4.8,0,870,8,-15.24,-12.7,0,0,2,0,-1,0,0,0,0,1.95,0,0.71,0,2024-11-23,f,Women's Strawweight,FEMALE,3,0,2,2,0,4,0,1,0,2,Southpaw,170.18,167.64,0,2,2,0,6,0,0,0,2,Orthodox,157.48,152.4,30,22,20,20
Nyamjargal Tumendemberel,Carlos Hernandez,102,-122,f,0,1.8197,224,-5,10.16,-2.53999999999999,-1,-3,-11,0,0,1,2,-2,0,0.77,-2.2,-0.82,0,2024-11-23,f,Flyweight,MALE,3,2,0,2,3,15,0,0,0,3,Orthodox,172.72,170.18,0,2,2,0,4,0,0,1,2,Orthodox,170.18,180.34,26,31,20,20
Lone'er Kavanagh,Jose Ochoa,-310,250,t,1.3226,0,-560,2,0,-7.62,1,0,1,0,1,0,1,0,1,-0.29,1,0,0,2024-11-23,f,Flyweight,MALE,3,0,0,0,0,0,0,0,0,0,Southpaw,170.18,170.18,0,1,1,0,1,0,1,0,1,Orthodox,162.56,170.18,25,23,20,20
Xiao Long,Quang Le,-144,136,t,1.6944,0,-280,-7,0,5.08000000000001,2,1,9,0,0,0,0,0,2,-2.38,0,0.86,0,2024-11-23,f,Bantamweight,MALE,3,1,0,0,1,3,0,0,0,0,Orthodox,167.64,177.8,1,0,2,2,12,0,0,0,2,Orthodox,172.72,177.8,26,33,20,20
Maheshate,Nikolas Motta,-245,200,f,0,3,-445,-7,2.53999999999999,7.62,0,0,1,0,-1,0,0,0,1,-0.22,0,0,0,2024-11-23,f,Lightweight,MALE,3,0,1,1,2,11,0,2,0,3,Orthodox,175.26,177.8,0,1,2,2,12,0,1,0,3,Orthodox,182.88,180.34,24,31,20,20
Jon Jones,Stipe Miocic,-550,410,t,1.1818,0,-960,-5,10.16,0,7,-3,28,8,-4,6,18,-1,12,0.29,-0.5,-0.15,-8,2024-11-16,t,Heavyweight,MALE,5,1,0,6,4,46,8,9,0,14,Orthodox,193.04,203.2,0,18,18,1,74,16,5,6,21,Orthodox,193.04,213.36,37,42,8,0
Charles Oliveira,Michael Chandler,-265,215,t,1.3774,0,-480,-3,7.62,5.08000000000001,18,7,49,2,1,15,0,0,8,1.09,-2.1,-0.66,-5,2024-11-16,f,Lightweight,MALE,3,1,0,3,3,14,1,3,1,4,Orthodox,172.72,180.34,1,0,11,10,63,3,4,16,22,Orthodox,177.8,187.96,35,38,7,2
Bo Nickal,Paul Craig,-1350,800,t,1.0741,0,-2150,-8,0,-5.08000000000001,-4,-8,-28,0,-2,-2,5,-2,1,-0.13,-2.2,-2.09,0,2024-11-16,f,Middleweight,MALE,3,2,0,4,8,34,0,3,6,9,Orthodox,190.5,193.04,0,5,5,0,6,0,1,4,5,Southpaw,185.42,193.04,28,36,20,20
Viviane Araujo,Karine Silva,235,-290,t,3.35,0,525,7,2.53999999999999,-2.53999999999999,1,5,27,0,1,-4,-5,1,-3,-1,1.2,0.93,9,2024-11-16,f,Women's Flyweight,FEMALE,3,0,5,5,0,8,0,0,4,5,Orthodox,165.1,170.18,1,0,2,5,35,0,1,0,6,Orthodox,162.56,172.72,37,30,11,20
Mauricio Ruffy,James Llontop,-1000,650,t,1.1,0,-1650,3,5.08000000000001,-2.53999999999999,1,-2,-3,0,2,0,2,-2,1,0.87,0,0,0,2024-11-16,f,Catch Weight,MALE,3,2,0,1,2,7,0,0,0,1,Orthodox,182.88,185.42,0,2,2,0,4,0,2,0,2,Orthodox,180.34,190.5,28,25,20,20
Jonathan Martinez,Marcus McGhee,-105,-115,f,0,1.8696,10,-4,2.54000000000002,0,7,4,34,0,2,-1,-3,1,3,1.62,0.4,0.08,-7,2024-11-16,f,Bantamweight,MALE,3,0,3,3,0,5,0,2,1,3,Orthodox,172.72,175.26,1,0,6,4,39,0,4,0,10,Southpaw,172.72,177.8,30,34,20,13
Jim Miller,Damon Jackson,195,-238,t,2.95,0,433,5,0,-7.62,20,12,69,0,5,10,0,0,3,-0.03,-0.5,0.78,0,2024-11-16,f,Lightweight,MALE,3,1,0,4,5,30,0,1,2,6,Switch,180.34,180.34,1,0,7,17,99,0,6,12,26,Southpaw,172.72,180.34,41,36,20,20
David Onama,Roberto Romero,-1450,850,t,1.069,0,-2300,6,10.16,7.62,4,2,14,0,2,1,2,0,2,-0.67,-0.6,-0.73,0,2024-11-16,f,Lightweight,MALE,3,0,0,0,0,0,0,0,0,0,Orthodox,172.72,177.8,0,2,2,2,14,0,2,1,4,Orthodox,180.34,187.96,30,24,20,20
Marcin Tybura,Jhonata Diniz,-105,-115,t,1.9524,0,10,6,-2.53999999999999,-2.53999999999999,9,8,43,0,2,1,-3,1,2,-0.21,-0.1,-1.42,-11,2024-11-16,f,Heavyweight,MALE,3,0,3,3,0,6,0,2,0,3,Orthodox,193.04,200.66,1,0,5,8,49,0,4,1,12,Orthodox,190.5,198.12,39,33,20,9
Mickey Gall,Ramiz Brahimaj,-170,142,f,0,2.42,-312,1,5.08000000000001,10.16,4,3,13,0,0,3,0,2,2,-1.24,-0.1,0.36,0,2024-11-16,f,Welterweight,MALE,3,1,0,1,3,11,0,0,2,2,Orthodox,177.8,182.88,3,0,3,6,24,0,0,5,6,Switch,187.96,187.96,32,31,20,20
Bassil Hafez,Oban Elliott,250,-310,f,0,1.3226,560,6,0,-2.53999999999999,-2,1,-3,0,0,0,-2,0,-2,0.55,0,-0.05,0,2024-11-16,f,Welterweight,MALE,3,0,3,3,0,9,0,0,0,3,Orthodox,182.88,182.88,0,1,1,1,6,0,0,0,1,Orthodox,180.34,182.88,32,26,20,20
Veronica Hardy,Eduarda Moura,114,-135,f,0,1.7407,249,-1,-5.07999999999998,-5.07999999999998,2,3,15,0,-1,0,3,-1,1,-0.52,0.1,3.44,0,2024-11-16,f,Women's Flyweight,FEMALE,3,1,0,2,1,6,0,1,1,2,Orthodox,167.64,167.64,0,3,3,4,21,0,0,1,4,Southpaw,162.56,162.56,29,30,20,20
Neil Magny,Carlos Prates,550,-800,f,0,1.125,1350,6,5.07999999999998,5.08000000000001,18,11,81,0,2,2,-4,1,3,0.96,-0.2,-1.68,-5,2024-11-09,f,Welterweight,MALE,5,0,4,4,0,7,0,4,0,4,Switch,185.42,198.12,1,0,7,11,88,0,6,2,22,Orthodox,190.5,203.2,37,31,20,15
Gerald Meerschaert,Reinier de Ridder,250,-310,f,0,1.3226,560,2,-2.53999999999999,-7.62,12,9,43,0,1,11,2,0,3,0.14,-0.2,4.38,0,2024-11-09,f,Middleweight,MALE,3,0,0,0,0,0,0,0,0,0,Southpaw,193.04,198.12,0,2,3,9,43,0,1,11,12,Southpaw,185.42,195.58,36,34,20,20
Gaston Bolanos,Cortavious Romious,205,-250,t,3.05,0,455,2,2.53999999999999,7.62,0,0,1,0,0,0,-1,1,0,-1.64,1,1.19,0,2024-11-09,f,Bantamweight,MALE,3,0,1,1,1,4,0,0,0,1,Southpaw,162.56,172.72,1,0,1,1,5,0,0,0,1,Orthodox,170.18,175.26,32,30,20,20
Luana Pinheiro,Gillian Robertson,360,-470,f,0,1.2128,830,2,-2.54000000000002,-7.62,-7,-4,-24,0,-1,-7,-2,2,2,-0.53,0.8,0.88,-1,2024-11-09,f,Women's Strawweight,FEMALE,3,0,2,2,6,37,0,2,7,11,Orthodox,165.1,160.02,2,0,4,2,13,0,1,0,4,Orthodox,157.48,157.48,31,29,14,13
Mansur Abdul-Malik,Dusko Todorovic,-485,370,t,1.2062,0,-855,-3,12.7,2.54000000000002,-3,-4,-12,0,-2,0,1,-1,-1,-1.26,0,0.92,0,2024-11-09,f,Middleweight,MALE,3,1,0,2,4,14,0,3,0,4,Orthodox,185.42,187.96,0,1,1,0,2,0,1,0,1,Orthodox,187.96,200.66,27,30,20,20
Karolina Kowalkiewicz,Denise Gomes,500,-700,f,0,1.1429,1200,15,2.53999999999999,2.54000000000002,5,6,31,1,-2,1,-1,1,2,-0.99,0.7,0.41,0,2024-11-09,f,Women's Strawweight,FEMALE,3,0,1,2,2,15,0,2,0,4,Orthodox,157.48,160.02,1,0,4,8,46,1,0,1,9,Orthodox,160.02,162.56,39,24,20,20
Elizeu Zaleski dos Santos,Zachary Scroggin,-900,600,t,1.1111,0,-1500,9,-2.54000000000002,-10.16,10,4,40,0,3,1,0,1,7,-1.93,-0.5,-0.7,0,2024-11-09,f,Welterweight,MALE,3,0,0,0,0,0,0,0,0,0,Orthodox,190.5,187.96,1,0,7,4,40,0,3,1,10,Orthodox,180.34,185.42,37,28,20,20
Matthew Semelsberger,Charles Radtke,140,-175,f,0,1.5714,315,-3,7.62,10.16,3,4,21,0,1,0,0,2,0,-0.39,-0.4,-0.42,0,2024-11-09,f,Welterweight,MALE,3,1,0,2,1,5,0,1,0,2,Orthodox,175.26,182.88,3,0,2,5,26,0,2,0,5,Switch,185.42,190.5,31,34,20,20
Cody Stamann,Da'Mon Blackshear,205,-250,f,0,1.4,455,5,-20.32,-10.16,5,3,24,0,0,-1,0,0,1,-0.02,1.4,0,0,2024-11-09,f,Bantamweight,MALE,3,2,0,2,3,13,0,1,1,2,Switch,177.8,182.88,2,0,3,6,37,0,1,0,7,Orthodox,167.64,162.56,35,30,20,20
Tresean Gore,Antonio Trocoli,-175,145,t,1.5714,0,-320,-3,-10.16,-15.24,1,1,2,0,0,1,1,-1,1,-1.71,-0.9,-2.62,0,2024-11-09,f,Middleweight,MALE,3,1,0,0,1,4,0,0,0,0,Orthodox,198.12,200.66,0,1,1,2,6,0,0,1,1,Switch,182.88,190.5,30,33,20,20
Melissa Mullins,Klaudia Sygula,-345,275,t,1.2899,0,-620,8,-2.53999999999999,-2.53999999999999,1,1,5,0,0,0,0,1,1,-1.54,0,-1.53,0,2024-11-09,f,Women's Bantamweight,FEMALE,3,0,0,0,0,0,0,0,0,0,Orthodox,172.72,175.26,1,0,1,1,5,0,0,0,1,Orthodox,170.18,172.72,33,25,20,20
Brandon Moreno,Amir Albazi,-180,150,t,1.5556,0,-330,-1,5.08000000000001,5.08000000000001,4,5,40,6,2,1,-5,2,-2,-1.27,0.1,-0.2,-1,2024-11-02,f,Flyweight,MALE,5,0,5,5,0,13,0,1,2,5,Orthodox,165.1,172.72,2,0,3,5,53,6,3,3,9,Orthodox,170.18,177.8,30,31,3,2
Erin Blanchfield,Rose Namajunas,-155,130,t,1.6452,0,-285,-7,2.53999999999999,-2.53999999999999,-5,-4,-33,-7,-2,0,-2,1,3,-1.53,-0.4,-0.4,-2,2024-11-02,f,Women's Flyweight,FEMALE,3,0,2,3,5,52,7,2,3,11,Orthodox,165.1,165.1,1,0,6,1,19,0,0,3,6,Orthodox,162.56,167.64,25,32,5,3
Caio Machado,Brendson Ribeiro,-192,160,f,0,2.6,-352,2,-7.62,2.53999999999999,0,0,4,0,-1,0,0,0,0,-2.66,0.4,1.27,0,2024-11-02,f,Light Heavyweight,MALE,3,2,0,1,2,5,0,1,0,1,Orthodox,190.5,205.74,2,0,1,2,9,0,0,0,1,Southpaw,193.04,198.12,30,28,20,20
Ariane da Silva,Jasmine Jasudavicius,190,-250,f,0,1.4,440,-5,-2.53999999999999,-2.54000000000002,0,4,5,0,0,1,-2,1,1,-0.34,0.3,1.98,-1,2024-11-02,f,Women's Flyweight,FEMALE,3,0,2,2,2,24,0,0,1,6,Orthodox,170.18,172.72,1,0,3,6,29,0,0,2,6,Orthodox,167.64,170.18,30,35,14,13
Marc-Andre Barriault,Dustin Stoltzfus,-270,220,f,0,3.2,-490,2,-2.53999999999999,2.53999999999999,2,2,14,0,1,0,0,1,1,-2.51,1,2.1,0,2024-11-02,f,Middleweight,MALE,3,1,0,1,5,17,0,1,1,3,Orthodox,182.88,190.5,2,0,2,7,31,0,2,1,5,Orthodox,185.42,187.96,34,32,20,20
Mike Malott,Trevin Giles,-375,295,t,1.2667,0,-670,0,-2.54000000000002,2.53999999999999,-3,-5,-24,0,-2,3,0,-1,1,-0.68,-0.5,-1.2,0,2024-11-02,f,Welterweight,MALE,3,2,0,3,6,32,0,3,0,7,Orthodox,182.88,187.96,1,0,4,1,8,0,1,3,4,Orthodox,185.42,185.42,32,32,20,20
Aiemann Zahabi,Pedro Munhoz,-225,185,t,1.4444,0,-410,-2,7.62,5.08000000000001,-5,-7,-34,0,-1,-3,4,-2,0,1.32,0.5,0.32,0,2024-11-02,f,Bantamweight,MALE,3,2,0,4,9,51,0,3,3,10,Orthodox,167.64,165.1,0,4,4,2,17,0,2,0,5,Orthodox,172.72,172.72,36,38,20,20
Charles Jourdain,Victor Henry,-148,124,t,1.6757,0,-272,-9,2.53999999999999,5.07999999999998,3,6,22,0,1,2,-2,2,0,2.23,-0.2,0.5,0,2024-11-02,f,Bantamweight,MALE,3,0,2,2,1,14,0,1,0,3,Switch,170.18,172.72,2,0,2,7,36,0,2,2,6,Switch,175.26,175.26,28,37,20,20
Jack Shore,Youssef Zalal,250,-310,f,0,1.3226,560,1,-2.53999999999999,-5.08000000000001,1,-1,-4,0,0,1,-2,1,2,-0.76,0.9,-0.88,0,2024-11-02,f,Featherweight,MALE,3,0,2,3,3,24,0,0,2,5,Switch,177.8,182.88,1,0,5,2,20,0,0,3,6,Orthodox,172.72,180.34,29,28,20,20
Alexandr Romanov,Rodrigo Nascimento,-142,120,t,1.7042,0,-262,2,-12.7,0,1,1,-1,0,1,1,0,0,2,-0.07,-0.4,-3.47,-2,2024-11-02,f,Heavyweight,MALE,3,1,0,3,2,18,0,0,2,5,Orthodox,187.96,203.2,1,0,5,3,17,0,1,3,6,Southpaw,187.96,190.5,33,31,15,13
Serhiy Sidey,Garrett Armfield,-135,114,t,1.7407,0,-249,0,5.07999999999998,12.7,-1,-1,-5,0,0,0,0,0,-1,0.48,-0.8,1.1,0,2024-11-02,f,Bantamweight,MALE,3,1,0,2,2,9,0,1,0,2,Orthodox,167.64,177.8,1,0,1,1,4,0,1,0,1,Switch,180.34,182.88,28,28,20,20
Chad Anheliger,Cody Gibson,310,-395,f,0,1.2532,705,0,-17.78,-10.16,1,-3,-1,0,0,-1,0,0,1,0.36,0.2,1.5,0,2024-11-02,f,Bantamweight,MALE,3,0,1,1,5,16,0,1,1,2,Orthodox,177.8,180.34,0,1,2,2,15,0,1,0,3,Orthodox,167.64,162.56,37,37,20,20
Jamey-Lyn Horth,Ivana Petrovic,-192,160,t,1.5208,0,-352,4,-10.16,-2.53999999999999,0,0,0,0,0,-1,-1,1,0,-1.29,1.1,1.53,0,2024-11-02,f,Women's Flyweight,FEMALE,3,0,1,1,1,6,0,0,1,1,Southpaw,172.72,177.8,1,0,1,1,6,0,0,0,1,Orthodox,170.18,167.64,34,30,20,20
Ilia Topuria,Max Holloway,-305,245,t,1.3279,0,-550,-5,0,-10.16,-15,-7,-82,-8,-7,-1,4,0,-6,2.47,-0.8,-1.77,-2,2024-10-26,t,Featherweight,MALE,5,0,3,13,7,98,9,11,2,22,Orthodox,180.34,175.26,0,7,7,0,16,1,4,1,7,Orthodox,170.18,175.26,27,32,2,0
Robert Whittaker,Khamzat Chimaev,200,-245,f,0,1.4082,445,3,-5.08000000000001,-5.08000000000001,10,5,52,4,4,-3,-5,0,2,0.82,2.8,3.51,-10,2024-10-26,f,Middleweight,MALE,3,0,7,7,0,12,0,2,3,7,Orthodox,187.96,190.5,0,2,9,5,64,4,6,0,17,Orthodox,182.88,185.42,33,30,13,3
Magomed Ankalaev,Aleksandar Rakic,-340,270,t,1.2941,0,-610,0,-7.62,-2.53999999999999,4,-2,11,1,4,0,10,-2,5,0.52,0.1,-0.26,-19,2024-10-26,f,Light Heavyweight,MALE,3,2,0,4,3,22,0,2,0,6,Orthodox,193.04,198.12,0,10,9,1,33,1,6,0,10,Orthodox,190.5,190.5,32,32,20,1
Lerone Murphy,Dan Ige,-340,270,t,1.2941,0,-610,0,5.07999999999998,5.07999999999998,-5,-7,-29,0,-2,-2,6,-1,0,-1.14,-0.4,-0.79,-2,2024-10-26,f,Featherweight,MALE,3,1,0,6,7,49,0,4,2,11,Orthodox,170.18,180.34,0,6,6,0,20,0,2,0,6,Orthodox,175.26,185.42,33,33,14,12
Shara Magomedov,Armen Petrosyan,-166,140,t,1.6024,0,-306,-3,5.07999999999998,-2.53999999999999,-1,-2,-5,0,0,0,3,-1,1,-0.87,0,0.19,0,2024-10-26,f,Middleweight,MALE,3,1,0,2,2,14,0,1,0,4,Orthodox,190.5,180.34,0,3,3,0,9,0,1,0,3,Orthodox,187.96,185.42,30,33,20,20
Ibo Aslan,Rafael Cerqueira,-108,-112,t,1.9259,0,4,-6,2.54000000000002,0,2,0,4,0,2,0,2,0,2,-7.16,0,0,0,2024-10-26,f,Light Heavyweight,MALE,3,0,0,0,0,0,0,0,0,0,Southpaw,190.5,193.04,0,2,2,0,4,0,2,0,2,Orthodox,190.5,195.58,28,34,20,20
Geoff Neal,Rafael Dos Anjos,-245,200,t,1.4082,0,-445,-6,12.7,7.62,-13,-10,-81,-4,1,-4,0,0,1,-1.57,0.5,1.39,-10,2024-10-26,f,Welterweight,MALE,3,2,0,5,14,111,4,4,5,21,Southpaw,172.72,177.8,2,0,6,4,30,0,5,1,8,Southpaw,180.34,190.5,34,40,20,10
Mateusz Rebecki,Myktybek Orolbai,215,-265,t,3.15,0,480,5,-20.32,-7.62,2,1,5,0,1,1,-2,1,2,-1.28,-0.4,1.52,0,2024-10-26,f,Catch Weight,MALE,3,0,2,2,0,5,0,0,1,2,Orthodox,177.8,187.96,1,0,4,1,10,0,1,2,4,Southpaw,170.18,167.64,31,26,20,20
Abus Magomedov,Brunno Ferreira,-155,130,t,1.6452,0,-285,3,15.24,10.16,-2,1,4,0,-3,0,-1,0,-1,1.11,0.2,-2.62,0,2024-10-26,f,Middleweight,MALE,3,0,2,2,1,5,0,4,0,4,Orthodox,177.8,182.88,0,1,1,2,9,0,1,0,2,Orthodox,187.96,198.12,34,31,20,20
Kennedy Nzechukwu,Chris Barnett,-800,550,t,1.125,0,-1350,-6,20.32,20.32,6,3,21,0,3,1,-1,2,2,-1.13,-0.2,-0.58,0,2024-10-26,f,Heavyweight,MALE,3,0,1,1,2,9,0,2,0,2,Orthodox,175.26,190.5,2,0,3,5,30,0,5,1,8,Southpaw,195.58,210.82,32,38,20,20
Farid Basharat,Victor Hugo,-575,425,t,1.1739,0,-1000,-4,0,2.53999999999999,2,0,5,0,0,0,2,0,2,-1.09,0.7,-3.16,0,2024-10-26,f,Featherweight,MALE,3,0,2,2,0,5,0,0,1,2,Orthodox,170.18,180.34,0,4,4,0,10,0,0,1,4,Orthodox,172.72,180.34,27,31,20,20
Ismail Naurdiev,Bruno Silva,-148,124,t,1.6757,0,-272,-7,0,-5.07999999999998,-2,-3,-7,0,-4,0,0,-2,-2,0.44,-0.2,-0.82,0,2024-10-26,f,Middleweight,MALE,3,3,0,3,5,19,0,4,0,4,Orthodox,182.88,187.96,1,0,1,2,12,0,0,0,2,Orthodox,177.8,187.96,28,35,20,20
