red_fighter,blue_fighter,red_odds,blue_odds,red_winner,red_return,blue_return,odds_diff,age_diff,reach_diff,height_diff,wins_diff,losses_diff,rounds_diff,title_bout_diff,ko_diff,submission_diff,win_streak_diff,lose_streak_diff,longest_win_streak_diff,sig_str_diff,sub_att_diff,td_diff,rank_diff,fight_date,title_bout,weight_class,gender,number_of_rounds,blue_current_lose_streak,blue_current_win_streak,blue_longest_win_streak,blue_losses,blue_total_rounds_fought,blue_total_title_bouts,blue_wins_by_ko,blue_wins_by_submission,blue_wins,blue_stance,blue_height_cms,blue_reach_cms,red_current_lose_streak,red_current_win_streak,red_longest_win_streak,red_losses,red_total_rounds_fought,red_total_title_bouts,red_wins_by_ko,red_wins_by_submission,red_wins,red_stance,red_height_cms,red_reach_cms,red_age,blue_age,b_match_wc_rank,r_match_wc_rank
John Dodson,Zach Makovsky,-800,550,t,1.125,0,-1350,-2,5.07999999999998,-2.53999999999999,2,0,2,2,3,0,1,0,1,-12.1667,0.25,3.8333,-7,2015-05-23,f,Flyweight,MALE,3,0,1,2,1,12,0,0,0,3,Southpaw,162.56,162.56,0,2,3,1,14,2,3,0,5,Orthodox,160.02,167.64,30,32,8,1
Dong Hyun Kim,Joshua Burkman,-210,175,t,1.4762,0,-385,-2,10.16,10.16,5,-2,8,0,2,-1,0,-3,2,5.1234,-0.1364,0.0779,-12,2015-05-23,f,Welterweight,MALE,3,4,0,2,6,27,0,1,1,5,Orthodox,177.8,182.88,1,0,4,4,35,0,3,0,10,Southpaw,187.96,193.04,33,35,20,8
Uriah Hall,Rafael Natal,-420,335,f,0,4.35,-755,-2,7.62,0,-4,-3,-22,1,0,-1,1,0,0,4.8667,0.3833,1.5833,0,2015-05-23,f,Middleweight,MALE,3,0,2,3,5,33,0,0,1,7,Orthodox,182.88,193.04,0,3,3,2,11,1,0,0,3,Orthodox,182.88,200.66,30,32,20,20
Mike Pyle,Colby Covington,265,-325,f,0,1.3077,590,12,5.08000000000001,2.53999999999999,7,5,23,0,3,1,-2,1,2,-3.0714,-0.2857,2.4286,0,2015-05-23,f,Welterweight,MALE,3,0,2,2,0,4,0,1,1,2,Orthodox,180.34,182.88,1,0,4,5,27,0,4,2,9,Orthodox,182.88,187.96,39,27,20,20
Islam Makhachev,Leo Kuntz,-500,400,t,1.2,0,-900,-8,-10.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-05-23,f,Lightweight,MALE,3,0,0,0,0,0,0,0,0,0,Orthodox,177.8,187.96,0,0,0,0,0,0,0,0,0,Orthodox,177.8,177.8,23,31,20,20
Justin Scoggins,Joshua Sampo,-500,400,t,1.2,0,-900,-7,5.07999999999998,7.62,1,0,3,0,1,-1,0,0,1,-14.5833,1.25,-3.3333,0,2015-05-23,f,Flyweight,MALE,3,2,0,1,2,6,0,0,1,1,Orthodox,162.56,162.56,2,0,2,2,9,0,1,0,2,Southpaw,170.18,167.64,23,30,20,20
Frankie Edgar,Urijah Faber,-550,425,t,1.1818,0,-975,-3,2.53999999999999,0,4,2,32,4,3,-4,1,0,1,-24.631,0.2567,-1.6578,-18,2015-05-16,f,Featherweight,MALE,5,0,2,4,3,31,3,0,6,8,Orthodox,167.64,170.18,0,3,5,5,63,7,3,2,12,Orthodox,167.64,172.72,33,36,20,2
Gegard Mousasi,Costas Philippou,-800,550,t,1.125,0,-1350,-6,7.62,7.62,-3,-1,-8,0,-2,1,0,0,-4,-6.6889,-0.1778,0.3333,-5,2015-05-16,f,Middleweight,MALE,3,0,1,5,3,21,0,3,0,6,Orthodox,180.34,185.42,0,1,1,2,13,0,1,1,3,Orthodox,187.96,193.04,29,35,12,7
Mark Munoz,Luke Barnatt,115,-135,t,2.15,0,250,10,-12.7,-15.24,5,4,15,0,3,-1,0,1,1,29.3571,0.0429,-0.9571,0,2015-05-16,f,Middleweight,MALE,3,2,0,3,2,12,0,1,1,3,Orthodox,198.12,195.58,3,0,4,6,27,0,4,0,8,Orthodox,182.88,182.88,37,27,20,20
Hyun Gyu Lim,Neil Magny,105,-125,f,0,1.8,230,3,-7.61999999999998,0,-4,-1,-15,0,1,-1,-5,0,-4,-9.1111,-0.1389,2.0833,5,2015-05-16,f,Welterweight,MALE,3,0,6,6,2,24,0,2,1,7,Orthodox,190.5,203.2,0,1,2,1,9,0,3,0,3,Orthodox,190.5,195.58,30,27,15,20
